Metric,Value,Source,As Of,Status,Notes
Primary domain,www.zediant.com (canonicalizes to zediant.com without www in observed pages),Direct site fetch,2026-08-19,CONFIRMED,Resolved URLs consistently show https://zediant.com/... without www - verify intended canonical host with site owner
Secondary/parallel domain discovered,work.zediant.com,WebSearch + WebFetch,2026-08-19,CONFIRMED (exists) / UNKNOWN (status),"Live, separate site with overlapping and conflicting content. Not documented in Claude.md or context/. DATA GAP."
robots.txt,Present; Disallow empty (all crawlers permitted); references sitemap,Direct fetch of https://www.zediant.com/robots.txt,2026-08-19,CONFIRMED,No crawl blocks observed
Sitemap declared in robots.txt,https://www.zediant.com/sitemap.xml,Direct fetch,2026-08-19,CONFIRMED,Present but stale - see sitemap findings below
Sitemap lastmod date (all entries),2024-08-21,Direct fetch of sitemap.xml,2026-08-19,CONFIRMED,"Sitemap has not been regenerated in roughly two years relative to session date"
Sitemap URL count,22,Direct fetch of sitemap.xml,2026-08-19,CONFIRMED,"6 service URLs, 4 about URLs, 9 case-study URLs, 2 legal, 1 homepage"
Sitemap case-study URLs functional,No - sampled URL /case-studies/wholesale returns 404,Direct fetch,2026-08-19,CONFIRMED,"Live case study URLs use long descriptive slugs (e.g. /case-studies/wholesale-parts-crm-for-automotive-dealers-and-oems); sitemap uses short slugs that no longer resolve"
Current live service pages missing from sitemap,"ai-enabled-product-engineering, platform-engineering, enterprise-custom-development",Direct fetch + sitemap comparison,2026-08-19,CONFIRMED,These are the pages matching current nav and current company positioning
Nav-linked service page missing entirely,/services/dedicated-engineering-pods returns 404,Direct fetch,2026-08-19,CONFIRMED,"This is Zediant's primary, ~90%-of-billing service per company.md"
Blog section (7 posts) present in sitemap,No,Direct fetch + sitemap comparison,2026-08-19,CONFIRMED,Blog URLs entirely absent from sitemap.xml
New case study (Zakaa Innovation Hub / CS-05) present in sitemap,No,Direct fetch + sitemap comparison,2026-08-19,CONFIRMED,Live case-studies hub lists 10 case studies; sitemap lists 9 with non-matching slugs
HTTPS,In use across all fetched pages,Direct fetch,2026-08-19,CONFIRMED,No mixed-content or HTTP pages observed in this discovery pass
Homepage title tag,"Innovative Digital Solutions for Business Growth - Zediant Technologies",Direct fetch,2026-08-19,CONFIRMED,"Generic legacy phrasing; does not reflect current AI-Enabled Product Engineering / Pods positioning or match H1"
Homepage meta description,"Zediant offers cutting-edge digital solutions to drive your business forward. Explore our services in SaaS development, e-commerce, cloud solutions, and more to transform your business.",Direct fetch,2026-08-19,CONFIRMED,"Does not mention pods, AI-enabled engineering, platform engineering, or enterprise custom development - the four currently published services"
Duplicate/overlapping service pages identified,"cloud-security vs platform-engineering; saas-development vs ai-enabled-product-engineering; build-your-team vs dedicated-engineering-pods (404); ecommerce-business and digital-presence unmapped to current C1-C5/services.md taxonomy",Direct fetch + comparison to services.md,2026-08-19,CONFIRMED (pages exist) / LIKELY (cannibalization),Full keyword-level cannibalization assessment requires keyword_research and page_optimizer skill passes
ZCoupler product mention on middleware-integration page,Not present,Direct fetch,2026-08-19,CONFIRMED,"ZCoupler is the named product referenced in campaigns.md (C4) and services.md but does not appear on the corresponding live page"
Claims conflict - SEO/marketing services advertised,"/services/digital-presence/ advertises \"SEO to social media marketing\"",Direct fetch,2026-08-19,CONFIRMED (page content) / POLICY CONFLICT,"services.md explicitly lists SEO execution and standalone marketing/content creation as NOT offered"
Structured data (schema.org),Not assessed - requires HTML/JSON-LD source inspection beyond WebFetch's markdown conversion,N/A,2026-08-19,UNKNOWN - REQUIRES HUMAN VERIFICATION,Recommend a direct crawl tool (e.g. Screaming Frog) or view-source pass
Core Web Vitals / page speed,Not measurable via available tools in this session,N/A,2026-08-19,UNKNOWN,Recommend PageSpeed Insights / Google Search Console
Indexed page count,Not measurable via available tools in this session,N/A,2026-08-19,UNKNOWN,Recommend Google Search Console "Pages" report
Search impressions/clicks/CTR,Not available,N/A,2026-08-19,UNKNOWN,No Search Console/Analytics connector available in this session
Keyword rankings,Not available,N/A,2026-08-19,UNKNOWN,No rank-tracking tool available in this session
Organic traffic,Not available,N/A,2026-08-19,UNKNOWN,No Analytics connector available in this session
"Indicative Google index snapshot (directional only, not a verified metric)","Homepage, ecommerce-business, saas-development, digital-presence appeared in a general web search; none of the three current-positioning service pages (ai-enabled-product-engineering, platform-engineering, enterprise-custom-development) appeared",General web search (not Search Console; not a site: operator guarantee),2026-08-19,UNKNOWN - REQUIRES HUMAN VERIFICATION,"Treat as a directional signal only. Confirm actual indexation status via Google Search Console before acting."
Mobile rendering,Not assessed - requires device emulation beyond available tools,N/A,2026-08-19,UNKNOWN,Recommend mobile-friendly test tool
Canonical tags,Not assessed - requires HTML source inspection,N/A,2026-08-19,UNKNOWN,Recommend direct crawl tool
"Redirects (www vs non-www, http vs https)","Pages resolve to zediant.com (no www) even when requested with www - suggests a redirect or canonicalization rule exists",Direct fetch,2026-08-19,LIKELY,"Confirm exact redirect chain and canonical host with a header-level crawl tool"
