Keyword,Primary Intent,Buyer Stage,ICP Relevance,Commercial Intent,Service Relevance,Market Relevance,Search Opportunity,Ranking Feasibility,Opportunity Score,Existing URL,Cannibalization Risk,Priority,Source,Verified,Notes
dedicated engineering pods,Commercial service intent,Provider evaluation,5,5,5,4,UNKNOWN,UNKNOWN,"UNKNOWN - partial (19/30 on known dimensions; volume/feasibility not measured)",None (target page 404s),None,P0,services.md keywords + company.md primary service,UNKNOWN,Primary service; corresponding page is currently broken (404) - see technical audit
engineering pod for SaaS product development,Commercial service intent,Provider evaluation,5,4,5,4,UNKNOWN,UNKNOWN,"UNKNOWN - partial (18/30)",None,None,P0,services.md,UNKNOWN,Aligns to ICP 2 (SaaS Companies)
AI-enabled product engineering company,Commercial service intent,Provider evaluation,5,4,5,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (17/30)",/services/ai-enabled-product-engineering/,Medium (vs saas-development page),P1,services.md + campaigns.md C1,UNKNOWN,Watch claims discipline per policies/claims-and-compliance.md Section 5 (AI capability claims)
extend engineering team without hiring,Problem/solution research,Problem recognition,4,3,4,4,UNKNOWN,UNKNOWN,"UNKNOWN - partial (15/30)",None,Low,P1,icp.md pain points,UNKNOWN,Strong pain-point phrasing candidate for supporting content
platform engineering and cloud DevOps company,Commercial service intent,Provider evaluation,4,4,5,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (16/30)",/services/platform-engineering/,Medium (vs cloud-security page),P1,services.md,UNKNOWN,No notes
enterprise legacy application modernisation,Problem/solution research,Solution evaluation,4,4,5,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (16/30)",None (Legacy Modernisation not a standalone page),Low,P1,services.md #6 + campaigns.md C5,UNKNOWN,No dedicated live page currently
API integration and middleware engineering,Commercial service intent,Provider evaluation,4,4,5,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (16/30)",/services/middleware-integration/,Low,P1,services.md #5 + campaigns.md C4,UNKNOWN,Page exists but omits ZCoupler branding - see on-page audit
ZCoupler middleware integration platform,Navigational / branded,Provider evaluation,3,4,5,2,UNKNOWN,UNKNOWN,"UNKNOWN - partial (14/30)",None (product not branded on live page),Low,P2,campaigns.md C4 + case_studies.md CS-01,UNKNOWN,Branded-term opportunity once product page/content exists
staff augmentation for engineering teams,Commercial service intent,Provider evaluation,3,3,4,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (13/30)",/services/build-your-team/,Medium (vs dedicated-engineering-pods),P2,services.md + campaigns.md C2,UNKNOWN,Commodity-adjacent term; competes with staffing firms (competitors.md Category 7)
dedicated engineering team Australia,Commercial service intent,Provider evaluation,5,4,4,5,UNKNOWN,UNKNOWN,"UNKNOWN - partial (18/30)",None,Low,P0,icp.md geography + seo_strategy.md geographic priorities,UNKNOWN,Primary target market
software engineering partner UAE,Commercial service intent,Provider evaluation,5,4,4,5,UNKNOWN,UNKNOWN,"UNKNOWN - partial (18/30)",None,Low,P0,icp.md geography + seo_strategy.md geographic priorities,UNKNOWN,Primary target market
SOC 2 aligned software development team,Commercial investigation,Solution evaluation,3,3,3,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (12/30)",None,Low,P3,company.md certifications + claims-and-compliance.md,UNKNOWN,Must use "SOC 2 Type II aligned" wording exactly per policy - never "certified"
QA and test automation partner,Commercial service intent,Provider evaluation,3,3,4,2,UNKNOWN,UNKNOWN,"UNKNOWN - partial (12/30)",None,Low,P3,services.md #10,UNKNOWN,Sold usually within a pod - not standalone
data engineering and BI dashboard development,Problem/solution research,Solution evaluation,3,3,4,2,UNKNOWN,UNKNOWN,"UNKNOWN - partial (12/30)",None,Low,P3,services.md #11 + case_studies.md CS-05,UNKNOWN,Limited standalone evidence per services.md
digital agency vs dedicated engineering pod,Commercial investigation,Solution evaluation,3,3,3,3,UNKNOWN,UNKNOWN,"UNKNOWN - partial (12/30)",None,Low,P3,icp.md ICP 1 (Digital Agencies),UNKNOWN,Comparison content candidate; Digital Agencies is currently a secondary-priority segment
