URL,Page Type,Title,H1,Primary Topic,Observed Intent,ICP Relevance,Commercial Relevance,Content Quality,Internal Links In,Internal Links Out,CTA,Indexable,Priority,Recommended Action,Status
https://www.zediant.com/,Homepage,"Innovative Digital Solutions for Business Growth - Zediant Technologies","Your Global AI-Enabled Product Engineering Partner",Company/brand,Navigational + Commercial service intent,High,High,"Weak - title/meta tag do not match H1 or current positioning",UNKNOWN,UNKNOWN,"Book a Strategy Session",UNKNOWN - REQUIRES HUMAN VERIFICATION,P0,"Rewrite title/meta to match current AI-Enabled Product Engineering / Pods positioning; verify indexability",Live - inconsistent
https://www.zediant.com/services/ai-enabled-product-engineering/,Service (current),"AI-Enabled Product Engineering | Zediant","Build Intelligent Platforms with AI-Ready Architectures",AI-Enabled Product Engineering,Commercial service intent,High,High,Good - matches current service catalog,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,"Confirm internal linking from homepage/nav; check overlap with saas-development page",Live
https://www.zediant.com/services/platform-engineering/,Service (current),"Platform Engineering | Zediant","Secure, Scalable, and AI-Powered Platform Engineering",Platform Engineering & Cloud DevOps,Commercial service intent,High,High,Good - matches current service catalog,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,"Resolve overlap with legacy cloud-security page (near-duplicate intent)",Live - possible cannibalization
https://www.zediant.com/services/enterprise-custom-development/,Service (current),"Enterprise Custom Development | Zediant","Bespoke Engineering Solutions for Public Limited Companies (PLCs)",Enterprise Custom Development,Commercial service intent,Medium-High,High,Good - matches current service catalog,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,"Confirm no unresolved capacity-mismatch messaging risk (services.md flags this as primary risk for this service)",Live
https://www.zediant.com/services/dedicated-engineering-pods,Service (current - nav target),UNKNOWN - 404,UNKNOWN - 404,Dedicated Engineering Pods (primary service per company.md),Commercial service intent,High,High,"N/A - page does not exist",UNKNOWN,N/A,N/A,No - 404,P0,"Create or correctly link the canonical Dedicated Engineering Pods page for Zediant's primary, 90%-of-billing service; HUMAN APPROVAL REQUIRED before publishing",Broken - 404
https://www.zediant.com/services/build-your-team/,Service (legacy),"Build Your Team | Zediant","IT Staff Augmentation",IT Staff Augmentation / Pods (secondary framing),Commercial service intent,Medium,Medium,"Overlaps with Dedicated Engineering Pods concept but not branded as such",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P0,"Determine whether this is the de facto Pods page or should be consolidated/redirected once dedicated-engineering-pods is resolved - HUMAN APPROVAL REQUIRED for any URL/redirect change",Live - likely duplicate/cannibalizing target
https://www.zediant.com/services/ecommerce-business/,Service (legacy),"eCommerce Business Solutions | Zediant","E-commerce Business",E-commerce development,Commercial service intent,Low-Medium,Medium,"Generalist agency framing, not mapped to current C1-C5 taxonomy",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,"Confirm strategic fit; e-commerce is not a standalone published service in current services.md - clarify intended status",Live - unmapped to current taxonomy
https://www.zediant.com/services/digital-presence/,Service (legacy),"Digital Presence | Zediant","Digital Presence Lab",Web/marketing/digital presence,Commercial + informational,Low,Low-Medium,"Claims SEO and social media marketing services not documented in services.md's offered capabilities",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P0,"CLAIMS POLICY CONFLICT: page advertises SEO/social media marketing, which services.md lists as NOT offered. Escalate for review before any further SEO investment in this page.",Live - claims conflict
https://www.zediant.com/services/saas-development/,Service (legacy),"SaaS Development Services | Zediant","SaaS Product Integrations",SaaS development,Commercial service intent,Medium-High,Medium-High,"Overlaps heavily with AI-Enabled Product Engineering page; heavy BigCommerce/e-commerce emphasis",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,"Resolve overlap with ai-enabled-product-engineering page (near-duplicate intent) - consolidate or differentiate",Live - possible cannibalization
https://www.zediant.com/services/middleware-integration/,Service (legacy),"Middleware Integration | Zediant","Middleware Integrations",Integration & Middleware Engineering,Commercial service intent,High,High,"Does not mention ZCoupler, the named product central to campaign C4",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,"Content gap: add ZCoupler product framing (subject to human approval before publishing)",Live - content gap
